Tm,W,L,W-L%,GB,RS,RA,pythW-L%,dt
CIN,18,19,0.486,4.0,198,197,0.502,2021-05-15
ATL,19,20,0.487,4.0,178,192,0.465,2021-05-15
CHC,18,20,0.474,4.5,172,178,0.484,2021-05-15
ARI,18,22,0.45,5.5,194,211,0.462,2021-05-15
PIT,17,22,0.436,6.0,137,178,0.382,2021-05-15
WSN,15,20,0.429,6.0,139,151,0.462,2021-05-15
MIA,17,23,0.425,6.5,160,157,0.509,2021-05-15
COL,15,25,0.375,8.5,193,218,0.445,2021-05-15
BOS,25,16,0.61,--,212,166,0.61,2021-05-15
CHW,23,15,0.605,0.5,196,136,0.661,2021-05-15
OAK,24,17,0.585,1.0,168,177,0.476,2021-05-15
HOU,23,17,0.575,1.5,210,158,0.627,2021-05-15
NYY,22,17,0.564,2.0,156,141,0.546,2021-05-15
CLE,21,16,0.568,2.0,151,140,0.535,2021-05-15
TOR,21,17,0.553,2.5,182,148,0.593,2021-05-15
TBR,22,19,0.537,3.0,178,164,0.537,2021-05-15
SEA,20,20,0.5,4.5,163,180,0.455,2021-05-15
KCR,18,21,0.462,6.0,161,190,0.425,2021-05-15
TEX,18,23,0.439,7.0,173,189,0.46,2021-05-15
LAA,16,22,0.421,7.5,167,215,0.386,2021-05-15
BAL,16,23,0.41,8.0,144,171,0.422,2021-05-15
MIN,13,24,0.351,10.0,169,188,0.451,2021-05-15
DET,14,25,0.359,10.0,138,203,0.33,2021-05-15
SFG,24,16,0.6,--,173,140,0.596,2021-05-16
SDP,24,17,0.585,0.5,177,137,0.615,2021-05-16
STL,23,18,0.561,1.5,180,166,0.537,2021-05-16
LAD,22,18,0.55,2.0,205,156,0.622,2021-05-16
NYM,19,16,0.543,2.5,125,134,0.468,2021-05-16
MIL,21,20,0.512,3.5,153,169,0.455,2021-05-16
PHI,21,20,0.512,3.5,170,177,0.482,2021-05-16
CIN,19,19,0.5,4.0,205,203,0.504,2021-05-16
CHC,19,20,0.487,4.5,177,179,0.495,2021-05-16
ATL,19,21,0.475,5.0,187,202,0.465,2021-05-16
WSN,16,20,0.444,6.0,142,151,0.472,2021-05-16
ARI,18,23,0.439,6.5,194,214,0.455,2021-05-16
MIA,18,23,0.439,6.5,163,159,0.511,2021-05-16
PIT,17,23,0.425,7.0,138,182,0.376,2021-05-16
COL,15,26,0.366,9.5,199,225,0.444,2021-05-16
CHW,24,15,0.615,--,200,139,0.661,2021-05-16
BOS,25,17,0.595,0.5,217,172,0.605,2021-05-16
OAK,25,17,0.595,0.5,175,183,0.48,2021-05-16
HOU,24,17,0.585,1.0,216,160,0.634,2021-05-16
TOR,22,17,0.564,2.0,192,156,0.594,2021-05-16
TBR,23,19,0.548,2.5,185,165,0.552,2021-05-16
NYY,22,18,0.55,2.5,162,151,0.532,2021-05-16
CLE,21,17,0.553,2.5,153,143,0.531,2021-05-16
SEA,21,20,0.512,4.0,166,182,0.458,2021-05-16
KCR,18,22,0.45,6.5,164,194,0.424,2021-05-16
LAA,17,22,0.436,7.0,173,220,0.392,2021-05-16
TEX,18,24,0.429,7.5,175,195,0.451,2021-05-16
BAL,17,23,0.425,7.5,154,177,0.437,2021-05-16
MIN,13,25,0.342,10.5,175,195,0.451,2021-05-16
DET,14,26,0.35,10.5,139,208,0.324,2021-05-16
SFG,25,16,0.61,--,179,143,0.601,2021-05-17
SDP,25,17,0.595,0.5,184,137,0.632,2021-05-17
STL,23,18,0.561,2.0,180,166,0.537,2021-05-17
LAD,23,18,0.561,2.0,208,157,0.626,2021-05-17
NYM,20,16,0.556,2.5,128,135,0.476,2021-05-17
MIL,21,20,0.512,4.0,153,169,0.455,2021-05-17
PHI,21,20,0.512,4.0,170,177,0.482,2021-05-17
CHC,20,20,0.5,4.5,184,182,0.505,2021-05-17
CIN,19,20,0.487,5.0,208,209,0.498,2021-05-17
ATL,19,22,0.463,6.0,188,205,0.46,2021-05-17
MIA,18,23,0.439,7.0,163,159,0.511,2021-05-17
WSN,16,21,0.432,7.0,145,158,0.461,2021-05-17
ARI,18,24,0.429,7.5,195,217,0.451,2021-05-17
PIT,17,23,0.425,7.5,138,182,0.376,2021-05-17
COL,15,27,0.357,10.5,199,232,0.43,2021-05-17
CHW,25,15,0.625,--,216,143,0.68,2021-05-17
BOS,25,17,0.595,1.0,217,172,0.605,2021-05-17
OAK,25,17,0.595,1.0,175,183,0.48,2021-05-17
HOU,24,17,0.585,1.5,216,160,0.634,2021-05-17
TOR,22,17,0.564,2.5,192,156,0.594,2021-05-17
TBR,23,19,0.548,3.0,185,165,0.552,2021-05-17
NYY,22,19,0.537,3.5,164,156,0.523,2021-05-17
CLE,21,18,0.538,3.5,157,150,0.521,2021-05-17
SEA,21,21,0.5,5.0,167,186,0.451,2021-05-17
KCR,18,22,0.45,7.0,164,194,0.424,2021-05-17
LAA,18,22,0.45,7.0,180,224,0.401,2021-05-17
TEX,19,24,0.442,7.5,180,197,0.459,2021-05-17
BAL,17,23,0.425,8.0,154,177,0.437,2021-05-17
DET,15,26,0.366,10.5,143,209,0.333,2021-05-17
MIN,13,26,0.333,11.5,179,211,0.425,2021-05-17
SFG,26,16,0.619,--,183,145,0.605,2021-05-18
SDP,26,17,0.605,0.5,186,138,0.633,2021-05-18
STL,24,18,0.571,2.0,185,168,0.544,2021-05-18
LAD,24,18,0.571,2.0,217,158,0.641,2021-05-18
NYM,21,16,0.568,2.5,132,138,0.48,2021-05-18
PHI,22,20,0.524,4.0,178,180,0.495,2021-05-18
CHC,21,20,0.512,4.5,190,185,0.512,2021-05-18
MIL,21,21,0.5,5.0,153,171,0.449,2021-05-18
CIN,19,21,0.475,6.0,210,213,0.494,2021-05-18
ATL,19,23,0.452,7.0,191,209,0.459,2021-05-18
MIA,18,24,0.429,8.0,166,167,0.497,2021-05-18
WSN,16,22,0.421,8.0,148,164,0.453,2021-05-18
ARI,18,25,0.419,8.5,196,226,0.435,2021-05-18
PIT,17,24,0.415,8.5,140,187,0.371,2021-05-18
COL,15,28,0.349,11.5,200,234,0.429,2021-05-18
CHW,25,16,0.61,--,220,148,0.674,2021-05-18
OAK,26,17,0.605,--,181,188,0.483,2021-05-18
BOS,25,18,0.581,1.0,217,180,0.585,2021-05-18
HOU,24,18,0.571,1.5,221,166,0.628,2021-05-18
TOR,23,17,0.575,1.5,200,156,0.612,2021-05-18
TBR,24,19,0.558,2.0,198,171,0.567,2021-05-18
NYY,23,19,0.548,2.5,171,160,0.53,2021-05-18
CLE,22,18,0.55,2.5,163,155,0.523,2021-05-18
SEA,21,22,0.488,5.0,167,191,0.439,2021-05-18
KCR,19,22,0.463,6.0,166,194,0.429,2021-05-18
LAA,18,23,0.439,7.0,185,230,0.402,2021-05-18
TEX,19,25,0.432,7.5,184,204,0.453,2021-05-18
BAL,17,24,0.415,8.0,160,190,0.422,2021-05-18
DET,16,26,0.381,9.5,148,209,0.347,2021-05-18
MIN,14,26,0.35,10.5,184,215,0.429,2021-05-18
SFG,27,16,0.628,--,187,145,0.614,2021-05-19
SDP,27,17,0.614,0.5,189,138,0.64,2021-05-19
STL,25,18,0.581,2.0,193,173,0.55,2021-05-19
LAD,25,18,0.581,2.0,221,160,0.644,2021-05-19
NYM,21,17,0.553,3.5,136,143,0.477,2021-05-19
PHI,22,21,0.512,5.0,179,183,0.49,2021-05-19
CHC,21,21,0.5,5.5,193,189,0.51,2021-05-19
MIL,21,22,0.488,6.0,157,177,0.445,2021-05-19
CIN,19,22,0.463,7.0,210,217,0.485,2021-05-19
ATL,20,23,0.465,7.0,196,213,0.462,2021-05-19
MIA,19,24,0.442,8.0,169,168,0.503,2021-05-19
WSN,17,22,0.436,8.0,152,167,0.457,2021-05-19
ARI,18,26,0.409,9.5,198,230,0.432,2021-05-19
PIT,17,25,0.405,9.5,145,195,0.368,2021-05-19
COL,15,29,0.341,12.5,200,237,0.423,2021-05-19
CHW,26,16,0.619,--,222,149,0.675,2021-05-19
BOS,26,18,0.591,1.0,224,183,0.591,2021-05-19
OAK,26,18,0.591,1.0,182,196,0.466,2021-05-19
HOU,25,18,0.581,1.5,229,167,0.641,2021-05-19
TBR,25,19,0.568,2.0,207,178,0.569,2021-05-19
NYY,24,19,0.558,2.5,173,160,0.536,2021-05-19
CLE,23,18,0.561,2.5,166,157,0.525,2021-05-19
TOR,23,18,0.561,2.5,203,163,0.599,2021-05-19
KCR,20,22,0.476,6.0,172,198,0.436,2021-05-19
SEA,21,23,0.477,6.0,169,197,0.43,2021-05-19
LAA,18,24,0.429,8.0,187,233,0.401,2021-05-19
TEX,19,26,0.422,8.5,184,206,0.449,2021-05-19
BAL,17,25,0.405,9.0,167,199,0.42,2021-05-19
DET,17,26,0.395,9.5,154,211,0.36,2021-05-19
MIN,14,27,0.341,11.5,185,217,0.428,2021-05-19
SFG,28,16,0.636,--,206,149,0.644,2021-05-20
SDP,27,17,0.614,1.0,189,138,0.64,2021-05-20
LAD,26,18,0.591,2.0,224,162,0.644,2021-05-20
STL,25,18,0.581,2.5,193,173,0.55,2021-05-20
NYM,21,17,0.553,4.0,136,143,0.477,2021-05-20
CHC,22,21,0.512,5.5,198,191,0.516,2021-05-20
PHI,22,22,0.5,6.0,179,189,0.475,2021-05-20
MIL,21,22,0.488,6.5,157,177,0.445,2021-05-20
CIN,19,23,0.452,8.0,214,236,0.455,2021-05-20
MIA,20,24,0.455,8.0,175,168,0.519,2021-05-20
ATL,20,24,0.455,8.0,200,219,0.459,2021-05-20
WSN,17,23,0.425,9.0,154,172,0.45,2021-05-20
PIT,18,25,0.419,9.5,151,199,0.376,2021-05-20
ARI,18,27,0.4,10.5,200,233,0.431,2021-05-20
COL,15,29,0.341,13.0,200,237,0.423,2021-05-20
CHW,26,16,0.619,--,222,149,0.675,2021-05-20
BOS,27,18,0.6,0.5,232,190,0.59,2021-05-20
HOU,26,18,0.591,1.0,237,171,0.645,2021-05-20
TBR,26,19,0.578,1.5,217,179,0.587,2021-05-20
OAK,26,19,0.578,1.5,186,204,0.458,2021-05-20
NYY,25,19,0.568,2.0,175,160,0.541,2021-05-20
CLE,23,18,0.561,2.5,166,157,0.525,2021-05-20
TOR,23,19,0.548,3.0,210,171,0.593,2021-05-20
KCR,20,22,0.476,6.0,172,198,0.436,2021-05-20
SEA,21,23,0.477,6.0,169,197,0.43,2021-05-20
LAA,19,25,0.432,8.0,197,240,0.411,2021-05-20
TEX,19,27,0.413,9.0,184,208,0.444,2021-05-20
DET,17,26,0.395,9.5,154,211,0.36,2021-05-20
BAL,17,26,0.395,9.5,168,209,0.401,2021-05-20
MIN,15,28,0.349,11.5,192,227,0.424,2021-05-20
SDP,28,17,0.622,--,205,139,0.671,2021-05-21
SFG,28,17,0.622,--,207,151,0.64,2021-05-21
LAD,27,18,0.6,1.0,226,163,0.645,2021-05-21
STL,25,19,0.568,2.5,196,185,0.526,2021-05-21
NYM,22,17,0.564,3.0,142,148,0.481,2021-05-21
CHC,23,21,0.523,4.5,210,194,0.536,2021-05-21
PHI,22,23,0.489,6.0,182,200,0.457,2021-05-21
MIL,21,23,0.477,6.5,161,186,0.434,2021-05-21
CIN,20,23,0.465,7.0,223,240,0.466,2021-05-21
ATL,21,24,0.467,7.0,220,220,0.5,2021-05-21
MIA,20,25,0.444,8.0,180,174,0.516,2021-05-21
WSN,18,23,0.439,8.0,158,174,0.456,2021-05-21
PIT,18,26,0.409,9.5,152,219,0.339,2021-05-21
ARI,18,28,0.391,10.5,201,240,0.42,2021-05-21
COL,16,29,0.356,12.0,207,238,0.436,2021-05-21
BOS,28,18,0.609,--,243,193,0.604,2021-05-21
CHW,26,17,0.605,0.5,223,151,0.671,2021-05-21
TBR,27,19,0.587,1.0,226,186,0.588,2021-05-21
OAK,27,19,0.587,1.0,194,208,0.468,2021-05-21
HOU,26,19,0.578,1.5,242,178,0.637,2021-05-21
NYY,26,19,0.578,1.5,177,161,0.543,2021-05-21
CLE,23,19,0.548,3.0,166,167,0.497,2021-05-21
TOR,23,20,0.535,3.5,217,180,0.585,2021-05-21
KCR,20,23,0.465,6.5,177,205,0.433,2021-05-21
SEA,21,24,0.467,6.5,170,213,0.398,2021-05-21
TEX,20,27,0.426,8.5,191,213,0.45,2021-05-21
LAA,19,26,0.422,8.5,201,248,0.405,2021-05-21
DET,18,26,0.409,9.0,161,216,0.369,2021-05-21
BAL,17,27,0.386,10.0,170,213,0.398,2021-05-21
MIN,16,28,0.364,11.0,202,227,0.447,2021-05-21
SDP,29,17,0.63,--,211,143,0.671,2021-05-22
SFG,28,18,0.609,1.0,210,157,0.63,2021-05-22
LAD,28,18,0.609,1.0,232,166,0.649,2021-05-22
STL,26,19,0.578,2.5,198,186,0.529,2021-05-22
NYM,22,18,0.55,4.0,143,151,0.475,2021-05-22
CHC,23,22,0.511,5.5,211,196,0.534,2021-05-22
MIL,22,23,0.489,6.5,165,189,0.438,2021-05-22
PHI,22,24,0.478,7.0,185,204,0.455,2021-05-22
ATL,22,24,0.478,7.0,226,221,0.51,2021-05-22
CIN,20,24,0.455,8.0,226,244,0.465,2021-05-22
MIA,21,25,0.457,8.0,183,175,0.52,2021-05-22
WSN,19,23,0.452,8.0,170,183,0.466,2021-05-22
PIT,18,27,0.4,10.5,153,225,0.331,2021-05-22
ARI,18,29,0.383,11.5,207,247,0.42,2021-05-22
COL,17,29,0.37,12.0,214,244,0.44,2021-05-22
BOS,29,18,0.617,--,247,196,0.604,2021-05-22
TBR,28,19,0.596,1.0,229,187,0.592,2021-05-22
OAK,28,19,0.596,1.0,200,210,0.478,2021-05-22
CHW,26,18,0.591,1.5,223,158,0.653,2021-05-22
NYY,27,19,0.587,1.5,184,161,0.561,2021-05-22
HOU,26,20,0.565,2.5,246,186,0.625,2021-05-22
CLE,24,19,0.558,3.0,171,170,0.503,2021-05-22
TOR,23,21,0.523,4.5,218,183,0.579,2021-05-22
KCR,21,23,0.477,6.5,184,210,0.44,2021-05-22
SEA,21,25,0.457,7.5,174,219,0.396,2021-05-22
TEX,21,27,0.438,8.5,199,217,0.46,2021-05-22
LAA,19,27,0.413,9.5,203,254,0.399,2021-05-22
DET,18,27,0.4,10.0,166,223,0.368,2021-05-22
BAL,17,28,0.378,11.0,179,225,0.397,2021-05-22
MIN,16,29,0.356,12.0,205,232,0.444,2021-05-22
SDP,30,17,0.638,--,220,145,0.682,2021-05-23
LAD,29,18,0.617,1.0,243,171,0.655,2021-05-23
SFG,28,19,0.596,2.0,215,168,0.611,2021-05-23
STL,26,20,0.565,3.5,199,188,0.526,2021-05-23
NYM,22,19,0.537,5.0,144,156,0.463,2021-05-23
CHC,24,22,0.522,5.5,213,197,0.536,2021-05-23
MIL,23,23,0.5,6.5,174,193,0.453,2021-05-23
PHI,23,24,0.489,7.0,191,206,0.465,2021-05-23
ATL,23,24,0.489,7.0,233,222,0.522,2021-05-23
MIA,22,25,0.468,8.0,188,176,0.53,2021-05-23
WSN,20,23,0.465,8.0,176,188,0.47,2021-05-23
CIN,20,25,0.444,9.0,230,253,0.457,2021-05-23
PIT,18,28,0.391,11.5,154,232,0.321,2021-05-23
COL,18,29,0.383,12.0,218,247,0.443,2021-05-23
ARI,18,30,0.375,12.5,210,251,0.419,2021-05-23
TBR,29,19,0.604,--,235,191,0.594,2021-05-23
BOS,29,19,0.604,--,249,202,0.595,2021-05-23
NYY,28,19,0.596,0.5,189,165,0.562,2021-05-23
OAK,28,20,0.583,1.0,205,216,0.476,2021-05-23
CHW,26,19,0.578,1.5,227,163,0.647,2021-05-23
HOU,26,21,0.553,2.5,248,189,0.622,2021-05-23
CLE,24,20,0.545,3.0,176,178,0.495,2021-05-23
TOR,23,22,0.511,4.5,222,189,0.573,2021-05-23
KCR,22,23,0.489,5.5,187,212,0.443,2021-05-23
TEX,22,27,0.449,7.5,202,219,0.463,2021-05-23
SEA,21,26,0.447,7.5,176,228,0.384,2021-05-23
LAA,20,27,0.426,8.5,209,259,0.403,2021-05-23
DET,18,28,0.391,10.0,168,226,0.368,2021-05-23
MIN,17,29,0.37,11.0,213,237,0.451,2021-05-23
BAL,17,29,0.37,11.0,184,231,0.397,2021-05-23
SDP,30,18,0.625,--,223,150,0.674,2021-05-24
LAD,29,18,0.617,0.5,243,171,0.655,2021-05-24
SFG,28,19,0.596,1.5,215,168,0.611,2021-05-24
STL,26,21,0.553,3.5,200,193,0.516,2021-05-24
CHC,24,22,0.522,5.0,213,197,0.536,2021-05-24
NYM,22,20,0.524,5.0,146,159,0.461,2021-05-24
MIL,24,23,0.511,5.5,179,196,0.459,2021-05-24
ATL,23,24,0.489,6.5,233,222,0.522,2021-05-24
PHI,23,25,0.479,7.0,197,215,0.46,2021-05-24
MIA,23,25,0.479,7.0,197,182,0.536,2021-05-24
WSN,20,23,0.465,7.5,176,188,0.47,2021-05-24
CIN,20,25,0.444,8.5,230,253,0.457,2021-05-24
PIT,18,28,0.391,11.0,154,232,0.321,2021-05-24
COL,19,29,0.396,11.0,221,249,0.446,2021-05-24
ARI,18,30,0.375,12.0,210,251,0.419,2021-05-24
TBR,30,19,0.612,--,249,199,0.601,2021-05-24
BOS,29,19,0.604,0.5,249,202,0.595,2021-05-24
NYY,28,19,0.596,1.0,189,165,0.562,2021-05-24
CHW,27,19,0.587,1.5,232,164,0.654,2021-05-24
OAK,28,21,0.571,2.0,207,220,0.472,2021-05-24
HOU,26,21,0.553,3.0,248,189,0.622,2021-05-24
CLE,25,20,0.556,3.0,182,183,0.497,2021-05-24
TOR,23,23,0.5,5.5,230,203,0.557,2021-05-24
KCR,22,23,0.489,6.0,187,212,0.443,2021-05-24
SEA,22,26,0.458,7.5,180,230,0.39,2021-05-24
TEX,22,27,0.449,8.0,202,219,0.463,2021-05-24
LAA,20,27,0.426,9.0,209,259,0.403,2021-05-24
MIN,18,29,0.383,11.0,221,240,0.462,2021-05-24
DET,18,29,0.383,11.0,173,232,0.369,2021-05-24
BAL,17,30,0.362,12.0,187,239,0.39,2021-05-24
SDP,31,18,0.633,--,230,151,0.684,2021-05-25
LAD,30,18,0.625,0.5,252,173,0.666,2021-05-25
SFG,29,19,0.604,1.5,223,168,0.627,2021-05-25
STL,26,22,0.542,4.5,203,201,0.505,2021-05-25
CHC,25,22,0.532,5.0,217,200,0.537,2021-05-25
NYM,23,20,0.535,5.0,149,160,0.467,2021-05-25
MIL,24,24,0.5,6.5,180,203,0.445,2021-05-25
ATL,24,24,0.5,6.5,236,223,0.526,2021-05-25
PHI,24,25,0.49,7.0,199,215,0.465,2021-05-25
MIA,23,26,0.469,8.0,197,184,0.531,2021-05-25
CIN,21,25,0.457,8.5,232,254,0.459,2021-05-25
WSN,20,24,0.455,8.5,177,190,0.468,2021-05-25
PIT,18,29,0.383,12.0,157,236,0.322,2021-05-25
COL,19,30,0.388,12.0,222,252,0.442,2021-05-25
ARI,18,31,0.367,13.0,210,259,0.405,2021-05-25
TBR,30,20,0.6,--,250,201,0.599,2021-05-25
CHW,28,19,0.596,0.5,240,167,0.66,2021-05-25
BOS,29,20,0.592,0.5,250,205,0.59,2021-05-25
NYY,28,20,0.583,1.0,191,171,0.55,2021-05-25
OAK,28,22,0.56,2.0,210,224,0.471,2021-05-25
CLE,26,20,0.565,2.0,186,184,0.505,2021-05-25
HOU,26,22,0.542,3.0,250,198,0.605,2021-05-25
TOR,24,23,0.511,4.5,236,205,0.564,2021-05-25
KCR,23,23,0.5,5.0,189,213,0.446,2021-05-25
SEA,23,26,0.469,6.5,184,233,0.394,2021-05-25
TEX,22,28,0.44,8.0,207,230,0.452,2021-05-25
LAA,21,27,0.438,8.0,220,264,0.417,2021-05-25
MIN,19,29,0.396,10.0,228,244,0.469,2021-05-25
DET,18,30,0.375,11.0,174,236,0.364,2021-05-25
BAL,17,31,0.354,12.0,191,246,0.386,2021-05-25
SDP,32,18,0.64,--,232,152,0.684,2021-05-26
SFG,30,19,0.612,1.5,228,172,0.626,2021-05-26
LAD,30,19,0.612,1.5,254,178,0.657,2021-05-26
STL,27,22,0.551,4.5,207,201,0.513,2021-05-26
CHC,26,22,0.542,5.0,221,201,0.543,2021-05-26
NYM,23,20,0.535,5.5,149,160,0.467,2021-05-26
MIL,24,25,0.49,7.5,181,205,0.443,2021-05-26
ATL,24,25,0.49,7.5,241,232,0.517,2021-05-26
PHI,24,26,0.48,8.0,201,219,0.461,2021-05-26
MIA,24,26,0.48,8.0,201,186,0.535,2021-05-26
WSN,21,24,0.467,8.5,182,193,0.473,2021-05-26
CIN,21,26,0.447,9.5,235,259,0.456,2021-05-26
COL,19,30,0.388,12.5,222,252,0.442,2021-05-26
PIT,18,30,0.375,13.0,158,240,0.318,2021-05-26
ARI,18,32,0.36,14.0,214,264,0.405,2021-05-26
TBR,31,20,0.608,--,252,202,0.6,2021-05-26
BOS,30,20,0.6,0.5,259,210,0.595,2021-05-26
CHW,28,20,0.583,1.5,240,171,0.65,2021-05-26
NYY,28,20,0.583,1.5,191,171,0.55,2021-05-26
OAK,29,22,0.569,2.0,216,227,0.477,2021-05-26
HOU,27,22,0.551,3.0,255,200,0.609,2021-05-26
CLE,26,21,0.553,3.0,186,185,0.502,2021-05-26
TOR,24,23,0.511,5.0,236,205,0.564,2021-05-26
KCR,23,24,0.489,6.0,190,215,0.444,2021-05-26
SEA,23,27,0.46,7.5,187,239,0.39,2021-05-26
LAA,22,27,0.449,8.0,229,272,0.422,2021-05-26
TEX,22,29,0.431,9.0,215,239,0.452,2021-05-26
MIN,20,29,0.408,10.0,231,246,0.471,2021-05-26
DET,19,30,0.388,11.0,175,236,0.367,2021-05-26
BAL,17,32,0.347,13.0,193,249,0.386,2021-05-26
SDP,32,19,0.627,--,237,158,0.677,2021-05-27
LAD,31,19,0.62,0.5,258,181,0.657,2021-05-27
SFG,30,20,0.6,1.5,231,176,0.622,2021-05-27
STL,28,22,0.56,3.5,212,205,0.515,2021-05-27
CHC,27,22,0.551,4.0,226,204,0.547,2021-05-27
NYM,25,20,0.556,4.0,154,162,0.477,2021-05-27
MIL,25,25,0.5,6.5,187,210,0.447,2021-05-27
PHI,25,26,0.49,7.0,204,221,0.463,2021-05-27
ATL,24,25,0.49,7.0,241,232,0.517,2021-05-27
MIA,24,27,0.471,8.0,203,189,0.533,2021-05-27
CIN,22,26,0.458,8.5,238,259,0.461,2021-05-27
WSN,21,25,0.457,8.5,182,196,0.466,2021-05-27
PIT,18,31,0.367,13.0,161,245,0.317,2021-05-27
COL,19,32,0.373,13.0,224,257,0.437,2021-05-27
ARI,18,33,0.353,14.0,218,269,0.405,2021-05-27
TBR,32,20,0.615,--,259,204,0.608,2021-05-27
BOS,30,20,0.6,1.0,259,210,0.595,2021-05-27
CHW,29,20,0.592,1.5,245,172,0.656,2021-05-27
OAK,30,22,0.577,2.0,221,227,0.488,2021-05-27
NYY,29,21,0.58,2.0,196,176,0.549,2021-05-27
CLE,27,21,0.563,3.0,191,187,0.51,2021-05-27
HOU,27,22,0.551,3.5,255,200,0.609,2021-05-27
TOR,25,24,0.51,5.5,241,210,0.563,2021-05-27
KCR,23,25,0.479,7.0,192,222,0.434,2021-05-27
SEA,24,27,0.471,7.5,192,239,0.401,2021-05-27
LAA,22,28,0.44,9.0,229,277,0.414,2021-05-27
TEX,22,30,0.423,10.0,215,244,0.442,2021-05-27
MIN,20,29,0.408,10.5,231,246,0.471,2021-05-27
DET,19,31,0.38,12.0,177,241,0.362,2021-05-27
BAL,17,33,0.34,14.0,194,254,0.379,2021-05-27
SDP,33,19,0.635,--,247,161,0.686,2021-05-28
SFG,31,20,0.608,1.5,239,181,0.624,2021-05-28
LAD,31,20,0.608,1.5,263,189,0.647,2021-05-28
STL,29,22,0.569,3.5,220,211,0.519,2021-05-28
CHC,28,22,0.56,4.0,227,204,0.549,2021-05-28
NYM,25,20,0.556,4.5,154,162,0.477,2021-05-28
MIL,25,25,0.5,7.0,187,210,0.447,2021-05-28
PHI,25,26,0.49,7.5,204,221,0.463,2021-05-28
ATL,24,25,0.49,7.5,241,232,0.517,2021-05-28
MIA,24,28,0.462,9.0,205,194,0.525,2021-05-28
WSN,21,25,0.457,9.0,182,196,0.466,2021-05-28
CIN,22,27,0.449,9.5,238,260,0.46,2021-05-28
PIT,18,31,0.367,13.5,161,245,0.317,2021-05-28
COL,19,32,0.373,13.5,224,257,0.437,2021-05-28
ARI,18,34,0.346,15.0,224,277,0.404,2021-05-28
TBR,32,20,0.615,--,259,204,0.608,2021-05-28
BOS,31,20,0.608,0.5,264,212,0.599,2021-05-28
CHW,29,20,0.592,1.5,245,172,0.656,2021-05-28
OAK,31,22,0.585,1.5,224,228,0.492,2021-05-28
NYY,29,22,0.569,2.5,198,179,0.546,2021-05-28
CLE,27,22,0.551,3.5,193,198,0.488,2021-05-28
HOU,27,23,0.54,4.0,258,210,0.593,2021-05-28
TOR,26,24,0.52,5.0,252,212,0.578,2021-05-28
KCR,24,25,0.49,6.5,200,225,0.446,2021-05-28
SEA,25,27,0.481,7.0,195,241,0.404,2021-05-28
LAA,22,29,0.431,9.5,230,280,0.411,2021-05-28
TEX,22,31,0.415,10.5,217,247,0.441,2021-05-28
MIN,20,30,0.4,11.0,234,254,0.463,2021-05-28
DET,20,31,0.392,11.5,180,243,0.366,2021-05-28
BAL,17,33,0.34,14.0,194,254,0.379,2021-05-28
SDP,34,19,0.642,--,258,169,0.684,2021-05-29
SFG,32,20,0.615,1.5,250,187,0.63,2021-05-29
LAD,31,21,0.596,2.5,269,200,0.632,2021-05-29
STL,30,22,0.577,3.5,227,215,0.525,2021-05-29
CHC,29,22,0.569,4.0,237,206,0.564,2021-05-29
NYM,26,20,0.565,4.5,167,164,0.508,2021-05-29
MIL,27,25,0.519,6.5,197,213,0.464,2021-05-29
PHI,25,27,0.481,8.5,207,226,0.46,2021-05-29
ATL,24,26,0.48,8.5,243,245,0.496,2021-05-29
MIA,24,29,0.453,10.0,206,197,0.52,2021-05-29
CIN,22,28,0.44,10.5,240,270,0.446,2021-05-29
WSN,21,27,0.438,10.5,185,206,0.451,2021-05-29
PIT,20,31,0.392,13.0,172,245,0.344,2021-05-29
COL,19,34,0.358,15.0,224,268,0.419,2021-05-29
ARI,18,35,0.34,16.0,228,284,0.401,2021-05-29
TBR,33,20,0.623,--,264,207,0.609,2021-05-29
BOS,32,20,0.615,0.5,267,213,0.602,2021-05-29
CHW,31,20,0.608,1.0,255,177,0.661,2021-05-29
OAK,31,23,0.574,2.5,224,232,0.484,2021-05-29
NYY,29,23,0.558,3.5,199,185,0.533,2021-05-29
CLE,27,22,0.551,4.0,193,198,0.488,2021-05-29
HOU,27,24,0.529,5.0,266,221,0.584,2021-05-29
TOR,26,24,0.52,5.5,252,212,0.578,2021-05-29
SEA,26,27,0.491,7.0,198,243,0.407,2021-05-29
KCR,24,26,0.48,7.5,205,231,0.446,2021-05-29
LAA,23,29,0.442,9.5,234,280,0.419,2021-05-29
MIN,21,30,0.412,11.0,240,259,0.465,2021-05-29
TEX,22,32,0.407,11.5,219,250,0.44,2021-05-29
DET,21,31,0.404,11.5,186,244,0.378,2021-05-29
BAL,17,35,0.327,15.5,199,264,0.373,2021-05-29
SDP,34,20,0.63,--,262,176,0.674,2021-05-30
SFG,33,20,0.623,0.5,255,191,0.629,2021-05-30
LAD,31,22,0.585,2.5,273,205,0.628,2021-05-30
STL,30,23,0.566,3.5,229,224,0.51,2021-05-30
CHC,29,23,0.558,4.0,238,211,0.555,2021-05-30
NYM,26,20,0.565,4.0,167,164,0.508,2021-05-30
MIL,28,25,0.528,5.5,200,213,0.471,2021-05-30
ATL,24,26,0.48,8.0,243,245,0.496,2021-05-30
PHI,25,28,0.472,8.5,209,232,0.452,2021-05-30
CIN,23,28,0.451,9.5,245,271,0.454,2021-05-30
MIA,24,29,0.453,9.5,206,197,0.52,2021-05-30
